fa        [fa]
fan       [fan]
faa       [faa]
fá        [fá]
fà        [fà]
fii       [fii]
fi        [fi]
fitha     [fitha]
fí        [fí]
fía       [fía]
fíia      [fíia]
fìn       [fìn]
fì        [fì]
fìi       [fìi]
fu        [fu]
fú        [fú]
fù        [fù]
ma        [ma]
má        [má]
màu       [màu]
màng      [màng]
mà        [mà]
màa       [màa]
mi        [mi]
míi       [míi]
mí        [mí]
mìa       [mìa]
mì        [mì]
mui       [mui]
mu        [mu]
múu       [múu]
mú        [mú]
mù        [mù]
mùu       [mùu]
na        [na]
ná        [ná]
nàa       [nàa]
nà        [nà]
nài       [nài]
nàn       [nàn]
nga       [nga]
ngan      [ngan]
ngá       [ngá]
ngà       [ngà]
ngi       [ngi]
ngiu      [ngiu]
ngí       [ngí]
ngía      [ngía]
ngì       [ngì]
ngìyà     [ngìyà]
ngìn      [ngìn]
ngu       [ngu]
ngú       [ngú]
ngúa      [ngúa]
ngúi      [ngúi]
ngù       [ngù]
nini      [nini]
ni        [ni]
ní        [ní]
níi       [níi]
nía       [nía]
nìqhu     [nìqhu]
nì        [nì]
nu        [nu]
nui       [nui]
nura      [nura]
nú        [nú]
núa       [núa]
núi       [núi]
nùqhu     [nùqhu]
qha       [qha]
qhá       [qhá]
qhán      [qhán]
qhà       [qhà]
qhimù     [qhimù]
qhiu      [qhiu]
qhi       [qhi]
qhí       [qhí]
qhì       [qhì]
qhu       [qhu]
qhui      [qhui]
qhú       [qhú]
qhúthá    [qhúthá]
qhùu      [qhùu]
qhù       [qhù]
qhùn      [qhùn]
ra        [ra]
ráa       [ráa]
rái       [rái]
rá        [rá]
rà        [rà]
rí        [rí]
rì        [rì]
rìng      [rìng]
rin       [rin]
rua       [rua]
rung      [rung]
ruia      [ruia]
run       [run]
          []
rú        [rú]
rù        [rù]
sa        [sa]
sá        [sá]
sáa       [sáa]
sà        [sà]
sia       [sia]
si        [si]
sí        [sí]
síi       [síi]
sì        [sì]
sìu       [sìu]
sìa       [sìa]
su        [su]
sua       [sua]
sú        [sú]
sù        [sù]
tha       [tha]
thá       [thá]
thà       [thà]
thi       [thi]
thí       [thí]
thì       [thì]
thu       [thu]
thú       [thú]
thúa      [thúa]
thù       [thù]
wa        [wa]
wá        [wá]
wà        [wà]
wi        [wi]
wé        [wé]
wì        [wì]
wu        [wu]
wú        [wú]
wù        [wù]
wufa      [wufa]
yaa       [yaa]
ya        [ya]
yá        [yá]
yà        [yà]
yi        [yi]
yí        [yí]
yìan      [yìan]
yìn       [yìn]
yìu       [yìu]
yuan      [yuan]
yu        [yu]
yú        [yú]
yù        [yù]
ngí yà    [ngí yà]
mù yà     [mù yà]
mù yú     [mù yú]
mù yì     [mù yì]
mu yà na  [mu yà na]
