fā             [fa]           "láb; lép"
fānn           [fan]          "lépés"
foa            [faa]          "fordul"
fyī            [fi]           "szőr"
fidh           [fitha]
fei            [fii]          "puha"
fȳ             [fu]           "tojás"
wào            [fà]           "valaki gyereke"
fyái           [fá]           "pénisz"
fyy̌            [fì]           "dönt, választ"
fǐnn           [fìn]          "választott"
fìe            [fìi]          "visz, akar"
fyê            [fí]           "meleg"
féa            [fía]          "lélek, életerő"
féia           [fíia]         "meleg"
wuo            [fù]           "ürülék"
wúo            [fú]           "üt"
mā             [ma]           "kéz"
myī            [mi]           "ül $"
mū             [mu]           "nagy állat, úr, antróp"
mui            [mui]          "ragadozó"
myǎ            [mà]           "jó"
mèo            [màu]          "elégedettség"
myǎng          [màng]         "igen"
myǎ            [màa]          "jóllakottság, béke"
mái            [má]           "család"
myy̌            [mì]           "porc"
mìa            [mìa]          "rugalmas"
myê            [mí]           "szopik; tej"
méi            [míi]          "testvér"
màu            [mù]           "valaki"
mô             [mú]           "ül"
móu            [múu]          "tyúk"
nā             [na]           "öl"
ngā            [nga]          "hát"
ghānn          [ngan]         "hegy"
ghī            [ngi]          "alszik; gömb"
ghio           [ngiu]         "összetekeredik"
ghū            [ngu]          "béka"
ghào           [ngà]          "harap"
ái             [ngá]          "nyal"
ngy̌            [ngì]          "máj"
ngìa           [ngìa]         "finom"
ngǐnn          [ngìn]         "orvosság"
ngê            [ngí]          "*én"
éa             [ngía]         "én"
ngàu           [ngù]          "here"
úo             [ngú]          "ellenség"
úa             [ngúa]         "beteg"
ói             [ngúi]         "betegség"
nī             [ni]           "ki, elő"
nenn           [nini]         "vagina"
nū             [nu]           "szív"
nwia           [nuia]         "nagyszerű"
nul            [nura]         "mosolyog (dorombol)"
nào            [nà]           "észrevesz"
nǎ             [nàa]          "tud"
niào           [nài]          "mozog"
nǎnn           [nàn]          "lény"
nyái           [ná]           "anyám"
ny̌             [nì]           "eszik"
nigh           [nìxu]         "étel"
nyê            [ní]           "szürkület, hajnal"
nyéi           [níi]          "tér"
nyéa           [nía]          "horizont"
nàu            [nù]           "*patkány"
nōgh           [nùxu]         "vándorpatkány"
nyô            [nú]           "szül"
nyóa           [núa]          "új"
nyói           [núi]          "teremt"
qhā            [xa]           "vadászik"
qhī            [xi]           "esik (eső)"
qhìm           [ximù]         "zuhan"
qhio           [xiu]          "eső"
qhū            [xu]           "egér"
ghào           [xà]           "ki? mi?"
hái            [xá]           "fej"
hânn           [xán]          "homlok"
ghy̌            [xì]           "fut"
hê             [xí]           "ti"
ghàu           [xù]           "szag"
ghǔnn          [xùn]          "nyom"
qhǔ            [xùu]          "út"
húo            [xú]           "farok"
húdh           [xúthá]        "mögött"
lā             [ra]           "ugrik"
lī             [ri]           "*éjszaka"
līnn           [rin]          "éjszaka"
lū             [ru]           "*gödör"
lua            [rua]          "fekete"
lwia           [ruia]         "mély, sötét"
lūng           [rung]         "mély"
lūnn           [run]          "gödör"
rào            [rà]           "szexel"
rǎ             [ràa]          "szex"
rái            [rá]           "dolog, tárgy"
ryē            [ráa]          "föld, talaj"
réi            [rái]          "kő"
ryy̌            [rì]           "kígyó"
ryǐng          [rìng]         "gonosz, ijesztő"
ryê            [rí]           "hús"
rǔ             [rù]           "száj"
rúo            [rú]           "bél"
syā            [sa]           "fúj; harag"
syı            [si]           "bajusz"
syei           [sii]          "lát"
syıa           [sia]          "megjelenik"
zyū            [su]           "levél"
zyua           [sua]          "gyógynövény"
zyū            [suu]          "nő"
zyǎ            [sà]           "lélek"
syái           [sá]           "nappal"
syêa           [sáa]          "fény"
syânn          [sán]          "csillag"
syy̌            [sì]           "hideg"
zyìu           [sìu]          "kevés, szűkös"
zyìa           [sìa]          "hideg, halott"
syê            [sí]           "fél"
syéi           [síi]          "félelem"
syàu           [sù]           "pisil"
zyúo           [sú]           "szopik"
thā            [tha]          "karom"
thī            [thi]          "fióka"
thū            [thu]          "fa"
thǎ            [thà]          "mászik"
thái           [thá]          "nincs"
thy̌            [thì]          "hol?"
thê            [thí]          "orr"
thàu           [thù]          "nem"
thúo           [thú]          "test"
thúa           [thúa]
mā             [wa]           "pocok"
mī             [wi]           "csont"
u              [wu]           "van"
ufy            [wufa]         "áll"
mào            [wà]           "megy"
mái            [wá]           "hall; fül"
wê             [wé]           "iszik"
my̌             [wì]           "rigó"
wê             [wí]           "víz"
ù              [wù]           "hal"
úo             [wú]           "fog"
yā             [ya]           "mond"
yoa            [yaa]          "beszél"
yī             [yi]           "szem"
yū             [yu]           "kacsa"
ywann          [yuan]         "lúd"
yào            [yà]           "tüzelő nő"
yái            [yá]           "nyúl"
yy̌             [yì]           "*gyerek"
yìann          [yìan]         "gyerek"
yǐnn           [yìn]          "kamasz gyerek"
yìu            [yìu]          "kicsi"
yê             [yí]           "vonul, megy valahova"
yéa            [yía]          "fehér"
yàu            [yù]           "vér"
yô             [yú]           "*férfi"
               []
íào            [ngí yà]       "én"
myǎ            [mù yà]        "ő G1f"
móy            [mù yú]        "ő G1m"
myy̌            [mù yì]        "ő G2"
muyann         [mu yà na]     "ők"
nàgh           [na ñà]        "nyak"
eméng          [ñímíñ]        "jóllakott, elégedett"
àong           [ñàñ]          "nyitott száj"
nımái          [ni má]        "szülőhely, fészek"
fil            [fìra]         "küld"
ghil           [ñira]         "forog"
áinn           [ñá na]        "tiszta"
áing           [ñá ña]        "mosakszik"
wèo            [wàu]          "válni, lenni"
mùa            [mùa]
nèo            [nuà]          "észrevevés, látás"
yèo            [yuà]          "tekintet, nézés"
yéào           [yíà]          "Hold"
syel           [sá li]        "idő"
syány          [sá ní]        "hajnal"
míǎ            [mí yàa]       "nő"
fal            [faa ra]       "láb"
fyail          [fá ra]        "hegy, csúcs"
lẏrái          [ru rá]        "padló"
fàm            [fawà]
mfàm           [mù fawà]
mẏfàm          [mu fawà]
yıfàm          [yi fawà]
nəfàm          [na fawà]
rəfàm          [rá fawà]
ghəhỳ          [ñusì]         "te (desp.)"
gházy          [ñasyá]        "tűz"
syéa           [sía]          "öreg, régi, hatalmas"
alaqh          [araxu]        "legfeljebb"
alày           [arayà]
aláy           [arayú]
wwòm           [fú mù]        "ütközik"
qhīel          [xìi ra]       "gyorsan fut"
zyàgh          [sa ñà]        "zombi"
nagh           [naxa]         "halandó; zsákmányállat"
mēath          [máa tu]       "rend, közösség, igazság"
fadh           [faa ta]       "fordulat, visszavágás, csapás; érv"
hwào           [xúà]          "utolsó, végső"
liào           [rià]          "hajnal"
hía            [xí ya]        "érdekes dolog"
qhòi           [xùi]          "szó"
rúa            [rúa]          "húst rág"
amyāqh         [amyǎxa]       "jobban"
məmàm          [wàwàm]
lē             [le]           "te"
yèo            [yàu]
fam            [fàwa]
fám            [fàwí]
fàù            [fàwù]
fəmaqh         [fàwaxu]
fəmáng         [fàwáñ]
fəmàng         [fàwàñ]
ngəfàm         [ñàfàm]
ləfàm          [lefàm]
nywiqh         [nóixu]        "teremtő"
ngınèo         [ñi nèo]       "álom"
ngēfàm         [ñí éa fàwà]
ngıfàm         [ñí fàwà]
éaləfàm        [éa le fàwà]
aiyùng         [ai yùñ]       "legalább"
hánghann       [xáin gan]     "hegycsúcs"
afəmū          [afàmū]        "gond, jövés-menés"
alàgh          [alaxù]        "legfeljebb"
mudh           [mu tha]       "sólyom"
nẏfyail        [nu fyáila]    "tökéletesség"
nẏhel          [nu sáili]     "félidő"
nginn          [ñiu na]       "alvó ember"
qhwann         [qhua na]      "osztályrész, juss"
zyěadh         [sêathà]       "avatár"
fyərúa         [fyé rúa]      "ház"
